tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
4828	Chrysospalax trevelyani	Afrosoricida	carnivore	426.5	98.67658718	99.42473634	557.0986889	0	0	1049.074053	40.4578622	59.5421378	1
4829	Chrysospalax villosus	Afrosoricida	carnivore	119.9	99.11400345	98.25320991	436.4717877	0.110750732	0.303905182	1118.975307	27.5209315	72.4790685	1
4972	Myodes centralis	Rodentia	omnivore	32	98.45890411	87.79393158	377.805542	0	0.375244725	7238.253318	4.871223144	95.12877686	0
4973	Myodes glareolus	Rodentia	omnivore	21.2	80.68306443	93.27218049	1551.962114	0	0	1134.679205	60.81887072	39.18112928	0
4974	Myodes rufocanus	Rodentia	omnivore	37	30.85746418	55.37799065	2407.549313	0.075421899	0.168376054	849.2763013	89.07008874	10.92991126	0
4975	Myodes rutilus	Rodentia	omnivore	28.2	26.29148947	35.15009195	1542.754867	0	0.735248867	3579.84961	61.16222935	38.83777065	0
4983	Cloeotis percivali	Chiroptera	carnivore	4.1	96.1178835	95.80972503	672.2245524	0.523936385	0.502856065	14492.88259	24.28948033	75.71051967	0
4989	Clyomys laticeps	Rodentia	herbivore	201	76.90464655	93.59720491	607.4960216	1.398529311	0.482064035	2116.736864	21.80204246	78.19795754	0
5074	Coelops frithii	Chiroptera	carnivore	7.4	94.83460728	99.22964927	603.1581272	0.89851651	0.124590141	8607.386206	19.40953235	80.59046765	0
5076	Coelops robinsoni	Chiroptera	carnivore	6.5	42.65429936	58.77426347	1181.872159	41.27145389	28.03017603	500.163879	78.07767296	21.92232704	1
5083	Coendou bicolor	Rodentia	herbivore	4050	37.83102238	56.21980923	3260.354271	7.805815027	4.187012987	740.4475626	86.1453411	13.8546589	0
5112	Coleura seychellensis	Chiroptera	carnivore	10.6			340.6317139			593.2907699	5.993340733	94.00665927	1
5113	Coleura afra	Chiroptera	carnivore	10.7	82.16965814	92.19397128	4925.747899	3.375840774	1.78030972	3398.249791	70.3521883	29.6478117	0
5142	Colobus angolensis	Primates	herbivore	14462.2	79.73035532	91.20617803	1725.575658	11.44541448	3.004191815	816.0129184	72.69135323	27.30864677	0
5143	Colobus guereza	Primates	herbivore	16498	74.50040902	87.92381481	2206.815184	8.371860285	2.942993657	1063.93868	77.7366057	22.2633943	0
5144	Colobus polykomos	Primates	herbivore	9089.6	96.83296421	99.71601789	1274.432996	1.684662887	0.165438678	1347.162046	50.32894373	49.67105627	1
5145	Colobus satanas	Primates	herbivore	11993.8	65.70267424	80.27796206	1985.221734	10.77322471	4.821857739	10014.54363	55.13985955	44.86014045	1
5146	Colobus vellerosus	Primates	herbivore	11505.2	99.32711216	98.5780271	781.7102315	0.000525152	0	1669.655423	40.14690259	59.85309741	1
5151	Colomys goslingi	Rodentia	omnivore	62.5	83.00395039	86.04674623	760.8737716	11.15875555	8.334631487	2725.395757	20.62825149	79.37174851	0
5224	Conilurus penicillatus	Rodentia	omnivore	153.5	24.15950069	12.5338568	3092.566404	0.789367932	2.703109706	12187.85206	57.67380869	42.32619131	1
5228	Connochaetes gnou	Cetartiodactyla	herbivore	179999	98.50374635	98.84766075	1710.662725	0.046839133	0.026848103	609.4113736	64.63275868	35.36724132	0
5229	Connochaetes taurinus	Cetartiodactyla	herbivore	179999	78.14638315	84.23443698	3729.374528	2.257756448	2.684920698	948.9783654	69.51135749	30.48864251	0
5481	Craseonycteris thonglongyai	Chiroptera	carnivore	2.2	100	100	428.1978224	0	0	679.1705184	33.68694329	66.31305671	0
5499	Crateromys australis	Rodentia	herbivore	445	100	100	796.0612327	0	0	474.2194331	64.62436178	35.37563822	1
5500	Crateromys schadenbergi	Rodentia	herbivore	1050	88.05970149	94.37176757	474.350614	0	0.290135397	2403.527039	12.05148486	87.94851514	1
5502	Crateromys heaneyi	Rodentia	herbivore	994	96.68674699	94.1997264	338.911014	0	2.497821667	1924.967507	8.558963749	91.44103625	1
5512	Madromys blanfordi	Rodentia	herbivore	141	99.53013866	99.88612952	1029.631173	0.199226194	0.007404143	16761.28069	14.03941684	85.96058316	0
5513	Cremnomys cutchicus	Rodentia	herbivore	59.8	99.99395477	99.4931009	12422.98351	0.001314261	0.012931007	17061.8664	70.97082345	29.02917655	0
5514	Cremnomys elvira	Rodentia	herbivore	77.1	100	100	532.5121806	0	0	599.6284312	28.03738318	71.96261682	1
5521	Cricetomys emini	Rodentia	omnivore	1300	76.01688232	88.12437063	1562.166654	11.52682135	3.422007865	1892.911398	60.60207322	39.39792678	0
5523	Cricetulus alticola	Rodentia	herbivore	35	38.52213258	24.0513713	499.0102042	3.537819288	4.158880363	2553.144371	25.98321846	74.01678154	0
